Year;Olio;Gas;Legna;Olio + ST;Gas + ST;Legna + ST;Pompa di calore + ST;Pompa di calore;Pellet
2011;1564;499;380;61;30;50;74;658;483
2012;1362;480;335;64;32;52;136;943;490
2013;1139;454;284;66;33;53;177;1409;492
2014;920;427;234;68;34;53;220;1763;489
2015;1023;456;259;71;35;56;190;1517;515
2016;968;457;247;73;36;57;142;1588;527
2017;1075;491;274;77;38;61;114;1398;559
2018;1030;496;264;80;40;62;112;1388;575
2019;982;500;254;83;41;64;119;1462;590
2020;965;511;251;86;43;67;106;1449;609
2021;888;508;234;88;44;68;91;1602;620
2022;585;451;164;86;43;65;110;2181;587
2023;294;391;96;82;41;62;111;2741;547
