Battery Rebate;FiT;Share PV Cantonal over Federal rebate;EC scenario;PV Rebate;Type;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040;2041;2042;2043;2044;2045;2046;2047;2048;2049;2050
0;0.025;0;0;0;SFH;0;0;0;0;0;0;0.147274522;0.338870552;0.680306827;1.261581742;2.174241005;3.479634071;5.451527543;9.242536558;15.79496044;20.77435522;25.84379103;30.83651311;35.83583153;40.87609308;45.96683596;50.93916346;56.05448055;61.25587274;66.64745824;71.66691279;76.77845033;82.06729208;87.51535154;93.1233658;98.91753308;104.6164926;110.5274032;116.5846418;122.7258136;129.3934814;136.0764649;142.9273023;149.9068091;157.0183619
0;0;0.1;0;0;SFH;0;0;0;0;0;0;0.147274522;0.338870552;0.680306827;1.261581742;2.174241005;3.479634071;5.451527543;9.242536558;15.79496044;20.55060472;25.37868435;30.19605951;35.04879569;39.9639491;44.94028418;49.80587082;54.83901433;59.97603151;65.32202315;70.33701185;75.44290455;80.73633029;86.21475296;91.86986941;97.76404011;103.5231179;109.5346889;115.7074936;121.9923275;128.8117407;135.6476443;142.6623097;149.8339098;157.1522769
0;0.075;0.1;0;0;SFH;0;0;0;0;0;0;0.147274522;0.338870552;0.680306827;1.261581742;2.174241005;3.479634071;5.451527543;9.242536558;15.79496044;21.21645249;26.66351087;31.94253924;37.16464697;42.35976119;47.53786428;52.5809397;57.7009479;62.83520552;68.06918638;72.90388414;77.86417215;82.908857;88.0740627;93.31803274;98.72323481;104.0392017;109.4874978;115.0171013;120.5647585;126.5760354;132.648673;138.8006216;145.0126042;151.2789752
0;0.075;0;0;0;SFH;0;0;0;0;0;0;0.147274522;0.338870552;0.680306827;1.261581742;2.174241005;3.479634071;5.451527543;9.242536558;15.79496044;21.21645249;26.66351087;31.94253924;37.16464697;42.35976119;47.53786428;52.5809397;57.7009479;62.83520552;68.06918638;72.90388414;77.86417215;82.908857;88.0740627;93.31803274;98.72323481;104.0392017;109.4874978;115.0171013;120.5647585;126.5760354;132.648673;138.8006216;145.0126042;151.2789752
0;0;0;0;0;SFH;0;0;0;0;0;0;0.147274522;0.338870552;0.680306827;1.261581742;2.174241005;3.479634071;5.451527543;9.242536558;15.79496044;20.55060472;25.37868435;30.19605951;35.04879569;39.9639491;44.94028418;49.80587082;54.83901433;59.97603151;65.32202315;70.33701185;75.44290455;80.73633029;86.21475296;91.86986941;97.76404011;103.5231179;109.5346889;115.7074936;121.9923275;128.8117407;135.6476443;142.6623097;149.8339098;157.1522769
0;0.1;0.1;0;0;SFH;0;0;0;0;0;0;0.147274522;0.338870552;0.680306827;1.261581742;2.174241005;3.479634071;5.451527543;9.242536558;15.79496044;21.43562111;27.06264318;32.46661587;37.75473408;42.95220699;48.10135374;53.11609838;58.16350538;63.15764693;68.22642749;72.88251413;77.64785072;82.48596635;87.40823221;92.38473047;97.47348759;102.4709098;107.5683181;112.7058428;117.8199967;123.3500326;128.9532836;134.6105881;140.2578795;145.9251897
0;0.025;0.1;0;0;SFH;0;0;0;0;0;0;0.147274522;0.338870552;0.680306827;1.261581742;2.174241005;3.479634071;5.451527543;9.242536558;15.79496044;20.77435522;25.84379103;30.83651311;35.83583153;40.87609308;45.96683596;50.93916346;56.05448055;61.25587274;66.64745824;71.66691279;76.77845033;82.06729208;87.51535154;93.1233658;98.91753308;104.6164926;110.5274032;116.5846418;122.7258136;129.3934814;136.0764649;142.9273023;149.9068091;157.0183619
0;0.05;0;0;0;SFH;0;0;0;0;0;0;0.147274522;0.338870552;0.680306827;1.261581742;2.174241005;3.479634071;5.451527543;9.242536558;15.79496044;20.9962354;26.26725036;31.42340247;36.54634513;41.68387514;46.82630879;51.8553983;57.00014371;62.2078255;67.53908828;72.49727533;77.55874023;82.77947482;88.12977102;93.58506995;99.21989727;104.7612799;110.4827053;116.3113717;122.2226562;128.6189345;135.0565265;141.6064562;148.2608916;155.0195013
0;0.05;0.1;0;0;SFH;0;0;0;0;0;0;0.147274522;0.338870552;0.680306827;1.261581742;2.174241005;3.479634071;5.451527543;9.242536558;15.79496044;20.9962354;26.26725036;31.42340247;36.54634513;41.68387514;46.82630879;51.8553983;57.00014371;62.2078255;67.53908828;72.49727533;77.55874023;82.77947482;88.12977102;93.58506995;99.21989727;104.7612799;110.4827053;116.3113717;122.2226562;128.6189345;135.0565265;141.6064562;148.2608916;155.0195013
0;0.1;0;0;0;SFH;0;0;0;0;0;0;0.147274522;0.338870552;0.680306827;1.261581742;2.174241005;3.479634071;5.451527543;9.242536558;15.79496044;21.43562111;27.06264318;32.46661587;37.75473408;42.95220699;48.10135374;53.11609838;58.16350538;63.15764693;68.22642749;72.88251413;77.64785072;82.48596635;87.40823221;92.38473047;97.47348759;102.4709098;107.5683181;112.7058428;117.8199967;123.3500326;128.9532836;134.6105881;140.2578795;145.9251897
0;0;0.2;0;0;SFH;0;0;0;0;0;0;0.147274522;0.338870552;0.680306827;1.261581742;2.174241005;3.479634071;5.451527543;9.242536558;15.79496044;20.55060472;25.37868435;30.19605951;35.04879569;39.9639491;44.94028418;49.80587082;54.83901433;59.97603151;65.32202315;70.33701185;75.44290455;80.73633029;86.21475296;91.86986941;97.76404011;103.5231179;109.5346889;115.7074936;121.9923275;128.8117407;135.6476443;142.6623097;149.8339098;157.1522769
0;0.025;0.2;0;0;SFH;0;0;0;0;0;0;0.147274522;0.338870552;0.680306827;1.261581742;2.174241005;3.479634071;5.451527543;9.242536558;15.79496044;20.77435522;25.84379103;30.83651311;35.83583153;40.87609308;45.96683596;50.93916346;56.05448055;61.25587274;66.64745824;71.66691279;76.77845033;82.06729208;87.51535154;93.1233658;98.91753308;104.6164926;110.5274032;116.5846418;122.7258136;129.3934814;136.0764649;142.9273023;149.9068091;157.0183619
0;0.075;0.2;0;0;SFH;0;0;0;0;0;0;0.147274522;0.338870552;0.680306827;1.261581742;2.174241005;3.479634071;5.451527543;9.242536558;15.79496044;21.21645249;26.66351087;31.94253924;37.16464697;42.35976119;47.53786428;52.5809397;57.7009479;62.83520552;68.06918638;72.90388414;77.86417215;82.908857;88.0740627;93.31803274;98.72323481;104.0392017;109.4874978;115.0171013;120.5647585;126.5760354;132.648673;138.8006216;145.0126042;151.2789752
0;0.1;0.2;0;0;SFH;0;0;0;0;0;0;0.147274522;0.338870552;0.680306827;1.261581742;2.174241005;3.479634071;5.451527543;9.242536558;15.79496044;21.43562111;27.06264318;32.46661587;37.75473408;42.95220699;48.10135374;53.11609838;58.16350538;63.15764693;68.22642749;72.88251413;77.64785072;82.48596635;87.40823221;92.38473047;97.47348759;102.4709098;107.5683181;112.7058428;117.8199967;123.3500326;128.9532836;134.6105881;140.2578795;145.9251897
0;0;0.3;0;0;SFH;0;0;0;0;0;0;0.147274522;0.338870552;0.680306827;1.261581742;2.174241005;3.479634071;5.451527543;9.242536558;15.79496044;20.55060472;25.37868435;30.19605951;35.04879569;39.9639491;44.94028418;49.80587082;54.83901433;59.97603151;65.32202315;70.33701185;75.44290455;80.73633029;86.21475296;91.86986941;97.76404011;103.5231179;109.5346889;115.7074936;121.9923275;128.8117407;135.6476443;142.6623097;149.8339098;157.1522769
0;0.075;0.3;0;0;SFH;0;0;0;0;0;0;0.147274522;0.338870552;0.680306827;1.261581742;2.174241005;3.479634071;5.451527543;9.242536558;15.79496044;21.21645249;26.66351087;31.94253924;37.16464697;42.35976119;47.53786428;52.5809397;57.7009479;62.83520552;68.06918638;72.90388414;77.86417215;82.908857;88.0740627;93.31803274;98.72323481;104.0392017;109.4874978;115.0171013;120.5647585;126.5760354;132.648673;138.8006216;145.0126042;151.2789752
0;0.05;0.3;0;0;SFH;0;0;0;0;0;0;0.147274522;0.338870552;0.680306827;1.261581742;2.174241005;3.479634071;5.451527543;9.242536558;15.79496044;20.9962354;26.26725036;31.42340247;36.54634513;41.68387514;46.82630879;51.8553983;57.00014371;62.2078255;67.53908828;72.49727533;77.55874023;82.77947482;88.12977102;93.58506995;99.21989727;104.7612799;110.4827053;116.3113717;122.2226562;128.6189345;135.0565265;141.6064562;148.2608916;155.0195013
0;0.025;0.3;0;0;SFH;0;0;0;0;0;0;0.147274522;0.338870552;0.680306827;1.261581742;2.174241005;3.479634071;5.451527543;9.242536558;15.79496044;20.77435522;25.84379103;30.83651311;35.83583153;40.87609308;45.96683596;50.93916346;56.05448055;61.25587274;66.64745824;71.66691279;76.77845033;82.06729208;87.51535154;93.1233658;98.91753308;104.6164926;110.5274032;116.5846418;122.7258136;129.3934814;136.0764649;142.9273023;149.9068091;157.0183619
0;0.1;0.3;0;0;SFH;0;0;0;0;0;0;0.147274522;0.338870552;0.680306827;1.261581742;2.174241005;3.479634071;5.451527543;9.242536558;15.79496044;21.43562111;27.06264318;32.46661587;37.75473408;42.95220699;48.10135374;53.11609838;58.16350538;63.15764693;68.22642749;72.88251413;77.64785072;82.48596635;87.40823221;92.38473047;97.47348759;102.4709098;107.5683181;112.7058428;117.8199967;123.3500326;128.9532836;134.6105881;140.2578795;145.9251897
0;0.05;0.2;0;0;SFH;0;0;0;0;0;0;0.147274522;0.338870552;0.680306827;1.261581742;2.174241005;3.479634071;5.451527543;9.242536558;15.79496044;20.9962354;26.26725036;31.42340247;36.54634513;41.68387514;46.82630879;51.8553983;57.00014371;62.2078255;67.53908828;72.49727533;77.55874023;82.77947482;88.12977102;93.58506995;99.21989727;104.7612799;110.4827053;116.3113717;122.2226562;128.6189345;135.0565265;141.6064562;148.2608916;155.0195013
0;0;0.4;0;0;SFH;0;0;0;0;0;0;0.147274522;0.338870552;0.680306827;1.261581742;2.174241005;3.479634071;5.451527543;9.242536558;15.79496044;20.55060472;25.37868435;30.19605951;35.04879569;39.9639491;44.94028418;49.80587082;54.83901433;59.97603151;65.32202315;70.33701185;75.44290455;80.73633029;86.21475296;91.86986941;97.76404011;103.5231179;109.5346889;115.7074936;121.9923275;128.8117407;135.6476443;142.6623097;149.8339098;157.1522769
0;0.025;0.4;0;0;SFH;0;0;0;0;0;0;0.147274522;0.338870552;0.680306827;1.261581742;2.174241005;3.479634071;5.451527543;9.242536558;15.79496044;20.77435522;25.84379103;30.83651311;35.83583153;40.87609308;45.96683596;50.93916346;56.05448055;61.25587274;66.64745824;71.66691279;76.77845033;82.06729208;87.51535154;93.1233658;98.91753308;104.6164926;110.5274032;116.5846418;122.7258136;129.3934814;136.0764649;142.9273023;149.9068091;157.0183619
0;0.025;0.5;0;0;SFH;0;0;0;0;0;0;0.147274522;0.338870552;0.680306827;1.261581742;2.174241005;3.479634071;5.451527543;9.242536558;15.79496044;20.77435522;25.84379103;30.83651311;35.83583153;40.87609308;45.96683596;50.93916346;56.05448055;61.25587274;66.64745824;71.66691279;76.77845033;82.06729208;87.51535154;93.1233658;98.91753308;104.6164926;110.5274032;116.5846418;122.7258136;129.3934814;136.0764649;142.9273023;149.9068091;157.0183619
0;0.05;0.4;0;0;SFH;0;0;0;0;0;0;0.147274522;0.338870552;0.680306827;1.261581742;2.174241005;3.479634071;5.451527543;9.242536558;15.79496044;20.9962354;26.26725036;31.42340247;36.54634513;41.68387514;46.82630879;51.8553983;57.00014371;62.2078255;67.53908828;72.49727533;77.55874023;82.77947482;88.12977102;93.58506995;99.21989727;104.7612799;110.4827053;116.3113717;122.2226562;128.6189345;135.0565265;141.6064562;148.2608916;155.0195013
0;0.075;0.4;0;0;SFH;0;0;0;0;0;0;0.147274522;0.338870552;0.680306827;1.261581742;2.174241005;3.479634071;5.451527543;9.242536558;15.79496044;21.21645249;26.66351087;31.94253924;37.16464697;42.35976119;47.53786428;52.5809397;57.7009479;62.83520552;68.06918638;72.90388414;77.86417215;82.908857;88.0740627;93.31803274;98.72323481;104.0392017;109.4874978;115.0171013;120.5647585;126.5760354;132.648673;138.8006216;145.0126042;151.2789752
0;0;0.5;0;0;SFH;0;0;0;0;0;0;0.147274522;0.338870552;0.680306827;1.261581742;2.174241005;3.479634071;5.451527543;9.242536558;15.79496044;20.55060472;25.37868435;30.19605951;35.04879569;39.9639491;44.94028418;49.80587082;54.83901433;59.97603151;65.32202315;70.33701185;75.44290455;80.73633029;86.21475296;91.86986941;97.76404011;103.5231179;109.5346889;115.7074936;121.9923275;128.8117407;135.6476443;142.6623097;149.8339098;157.1522769
0;0.1;0.4;0;0;SFH;0;0;0;0;0;0;0.147274522;0.338870552;0.680306827;1.261581742;2.174241005;3.479634071;5.451527543;9.242536558;15.79496044;21.43562111;27.06264318;32.46661587;37.75473408;42.95220699;48.10135374;53.11609838;58.16350538;63.15764693;68.22642749;72.88251413;77.64785072;82.48596635;87.40823221;92.38473047;97.47348759;102.4709098;107.5683181;112.7058428;117.8199967;123.3500326;128.9532836;134.6105881;140.2578795;145.9251897
0;0.05;0.5;0;0;SFH;0;0;0;0;0;0;0.147274522;0.338870552;0.680306827;1.261581742;2.174241005;3.479634071;5.451527543;9.242536558;15.79496044;20.9962354;26.26725036;31.42340247;36.54634513;41.68387514;46.82630879;51.8553983;57.00014371;62.2078255;67.53908828;72.49727533;77.55874023;82.77947482;88.12977102;93.58506995;99.21989727;104.7612799;110.4827053;116.3113717;122.2226562;128.6189345;135.0565265;141.6064562;148.2608916;155.0195013
0;0.1;0.5;0;0;SFH;0;0;0;0;0;0;0.147274522;0.338870552;0.680306827;1.261581742;2.174241005;3.479634071;5.451527543;9.242536558;15.79496044;21.43562111;27.06264318;32.46661587;37.75473408;42.95220699;48.10135374;53.11609838;58.16350538;63.15764693;68.22642749;72.88251413;77.64785072;82.48596635;87.40823221;92.38473047;97.47348759;102.4709098;107.5683181;112.7058428;117.8199967;123.3500326;128.9532836;134.6105881;140.2578795;145.9251897
