year;Altro;Apparecchiature elettriche e illuminazione privata;Artigianato e industrie;Commercio e servizi;Consumo proprio;Illuminazione pubblica;Perdite di rete;Pompaggio;Riscaldamento abitazioni;Trasporti
2010;109;737;819;813;10;49;128;264;253;161
2011;120;714;867;752;16;55;122;229;244;170
2012;74;719;874;738;11;61;115;112;246;201
2013;85;735;844;741;11;50;118;143;251;207
2014;238;743;688;730;10;51;107;103;254;182
2015;209;730;796;681;9;51;113;106;250;183
2016;39;638;880;767;11;47;118;217;328;170
2017;34;654;931;749;9;44;120;218;337;150
2018;54;624;919;752;10;39;114;171;321;155
2019;74;664;904;712;7;33;108;149;342;154
2020;72;674;844;730;7;36;107;210;347;153
2021;88;704;879;753;8;35;100;148;363;176
2022;103;678;854;744;7;37;79;171;349;179
2023;119;641;787;718;7;42;93;145;330;174
