Battery Rebate;FiT;Share PV Cantonal over Federal rebate;EC scenario;PV Rebate;Type;2050
0;0.025;0;0;0;SFH;0.457434204
0;0;0.1;0;0;SFH;0.430085317
0;0.075;0.1;0;0;SFH;0.514825492
0;0.075;0;0;0;SFH;0.514825492
0;0;0;0;0;SFH;0.430085317
0;0.1;0.1;0;0;SFH;0.544161596
0;0.025;0.1;0;0;SFH;0.457434204
0;0.05;0;0;0;SFH;0.485782373
0;0.05;0.1;0;0;SFH;0.485782373
0;0.1;0;0;0;SFH;0.544161596
0;0;0.2;0;0;SFH;0.430085317
0;0.025;0.2;0;0;SFH;0.457434204
0;0.075;0.2;0;0;SFH;0.514825492
0;0.1;0.2;0;0;SFH;0.544161596
0;0;0.3;0;0;SFH;0.430085317
0;0.075;0.3;0;0;SFH;0.514825492
0;0.05;0.3;0;0;SFH;0.485782373
0;0.025;0.3;0;0;SFH;0.457434204
0;0.1;0.3;0;0;SFH;0.544161596
0;0.05;0.2;0;0;SFH;0.485782373
0;0;0.4;0;0;SFH;0.430085317
0;0.025;0.4;0;0;SFH;0.457434204
0;0.025;0.5;0;0;SFH;0.457434204
0;0.05;0.4;0;0;SFH;0.485782373
0;0.075;0.4;0;0;SFH;0.514825492
0;0;0.5;0;0;SFH;0.430085317
0;0.1;0.4;0;0;SFH;0.544161596
0;0.05;0.5;0;0;SFH;0.485782373
0;0.1;0.5;0;0;SFH;0.544161596
0;0.075;0.5;0;0;SFH;0.514825492
0.1;0.025;0;0;0;SFH;0.457448929
0.1;0;0;0;0;SFH;0.430120639
0.1;0.075;0;0;0;SFH;0.514827769
0.1;0.05;0;0;0;SFH;0.485807163
0.1;0;0.1;0;0;SFH;0.430120639
0.1;0.1;0;0;0;SFH;0.544167335
0.1;0.025;0.1;0;0;SFH;0.457448929
0.1;0.05;0.1;0;0;SFH;0.485807163
0.1;0.075;0.1;0;0;SFH;0.514827769
0.1;0.1;0.1;0;0;SFH;0.544167335
0.1;0;0.2;0;0;SFH;0.430120639
0.1;0.025;0.2;0;0;SFH;0.457448929
0.1;0.05;0.2;0;0;SFH;0.485807163
0.1;0;0.3;0;0;SFH;0.430120639
0.1;0.075;0.2;0;0;SFH;0.514827769
0.1;0.1;0.2;0;0;SFH;0.544167335
0.1;0.025;0.3;0;0;SFH;0.457448929
0.1;0.05;0.3;0;0;SFH;0.485807163
0.1;0.075;0.3;0;0;SFH;0.514827769
0.1;0.1;0.3;0;0;SFH;0.544167335
0.1;0;0.4;0;0;SFH;0.430120639
0.1;0.05;0.4;0;0;SFH;0.485807163
0.1;0.025;0.4;0;0;SFH;0.457448929
0.1;0.075;0.4;0;0;SFH;0.514827769
0.1;0;0.5;0;0;SFH;0.430120639
0.1;0.1;0.4;0;0;SFH;0.544167335
0.1;0.025;0.5;0;0;SFH;0.457448929
0.1;0.075;0.5;0;0;SFH;0.514827769
0.1;0.05;0.5;0;0;SFH;0.485807163
0.1;0.1;0.5;0;0;SFH;0.544167335
0.2;0.05;0;0;0;SFH;0.485832858
0.2;0;0;0;0;SFH;0.430165518
0.2;0.025;0;0;0;SFH;0.457495682
0.2;0.1;0;0;0;SFH;0.544190502
0.2;0.075;0;0;0;SFH;0.514852964
0.2;0;0.1;0;0;SFH;0.430165518
0.2;0.025;0.1;0;0;SFH;0.457495682
0.2;0.05;0.1;0;0;SFH;0.485832858
0.2;0.075;0.1;0;0;SFH;0.514852964
0.2;0.1;0.1;0;0;SFH;0.544190502
0.2;0.05;0.2;0;0;SFH;0.485832858
0.2;0.075;0.2;0;0;SFH;0.514852964
0.2;0.025;0.2;0;0;SFH;0.457495682
0.2;0;0.2;0;0;SFH;0.430165518
0.2;0.1;0.2;0;0;SFH;0.544190502
0.2;0;0.3;0;0;SFH;0.430165518
0.2;0.025;0.3;0;0;SFH;0.457495682
0.2;0.05;0.3;0;0;SFH;0.485832858
0.2;0.075;0.3;0;0;SFH;0.514852964
0.2;0.1;0.3;0;0;SFH;0.544190502
0.2;0.025;0.4;0;0;SFH;0.457495682
0.2;0.075;0.4;0;0;SFH;0.514852964
0.2;0;0.4;0;0;SFH;0.430165518
0.2;0.05;0.4;0;0;SFH;0.485832858
0.2;0.1;0.4;0;0;SFH;0.544190502
0.2;0;0.5;0;0;SFH;0.430165518
0.2;0.025;0.5;0;0;SFH;0.457495682
0.2;0.05;0.5;0;0;SFH;0.485832858
0.2;0.075;0.5;0;0;SFH;0.514852964
0.2;0.1;0.5;0;0;SFH;0.544190502
0.3;0.025;0;0;0;SFH;0.457540052
0.3;0;0;0;0;SFH;0.43021186
0.3;0.05;0;0;0;SFH;0.485872919
0.3;0.075;0;0;0;SFH;0.514873388
0.3;0.1;0;0;0;SFH;0.544198641
0.3;0;0.1;0;0;SFH;0.43021186
0.3;0.025;0.1;0;0;SFH;0.457540052
0.3;0.05;0.1;0;0;SFH;0.485872919
0.3;0.075;0.1;0;0;SFH;0.514873388
0.3;0.1;0.1;0;0;SFH;0.544198641
0.3;0.075;0.2;0;0;SFH;0.514873388
0.3;0.025;0.2;0;0;SFH;0.457540052
0.3;0;0.2;0;0;SFH;0.43021186
0.3;0.05;0.2;0;0;SFH;0.485872919
0.3;0.1;0.2;0;0;SFH;0.544198641
0.3;0;0.3;0;0;SFH;0.43021186
0.3;0.025;0.3;0;0;SFH;0.457540052
0.3;0.05;0.3;0;0;SFH;0.485872919
0.3;0.075;0.3;0;0;SFH;0.514873388
0.3;0.1;0.3;0;0;SFH;0.544198641
0.3;0.025;0.4;0;0;SFH;0.457540052
0.3;0;0.4;0;0;SFH;0.43021186
0.3;0.05;0.4;0;0;SFH;0.485872919
0.3;0.075;0.4;0;0;SFH;0.514873388
0.3;0.1;0.4;0;0;SFH;0.544198641
0.3;0;0.5;0;0;SFH;0.43021186
0.3;0.025;0.5;0;0;SFH;0.457540052
0.3;0.05;0.5;0;0;SFH;0.485872919
0.3;0.075;0.5;0;0;SFH;0.514873388
0.3;0.1;0.5;0;0;SFH;0.544198641
0;0.1;0.1;0;0.1;SFH;0.577035951
0;0.075;0.1;0;0.1;SFH;0.54492315
0;0;0;0;0.1;SFH;0.448982709
0;0.025;0;0;0.1;SFH;0.479222017
0;0.075;0;0;0.1;SFH;0.542364042
0;0.05;0;0;0.1;SFH;0.510511103
0;0.025;0.1;0;0.1;SFH;0.481027454
0;0.1;0;0;0.1;SFH;0.574175074
0;0;0.1;0;0.1;SFH;0.450405982
0;0.05;0.1;0;0.1;SFH;0.512684403
0;0.05;0.2;0;0.1;SFH;0.514926777
0;0;0.2;0;0.1;SFH;0.451849852
0;0.075;0.3;0;0.1;SFH;0.550190538
0;0.075;0.2;0;0.1;SFH;0.547520052
0;0.1;0.3;0;0.1;SFH;0.582905481
0;0;0.3;0;0.1;SFH;0.453361244
0;0.025;0.2;0;0.1;SFH;0.482886514
0;0;0.4;0;0.1;SFH;0.454891431
0;0.025;0.4;0;0.1;SFH;0.486743741
0;0.05;0.4;0;0.1;SFH;0.519587832
0;0.05;0.3;0;0.1;SFH;0.517235934
0;0.025;0.3;0;0.1;SFH;0.484777485
0;0.025;0.5;0;0.1;SFH;0.488718215
0;0.05;0.5;0;0.1;SFH;0.521993344
0;0.075;0.5;0;0.1;SFH;0.555670424
0;0.1;0.5;0;0.1;SFH;0.589018963
0;0.1;0.2;0;0.1;SFH;0.579944362
0.1;0.05;0;0;0.1;SFH;0.510536363
0.1;0.075;0;0;0.1;SFH;0.542381464
0.1;0.1;0;0;0.1;SFH;0.57418476
0.1;0;0.1;0;0.1;SFH;0.450446669
0;0;0.5;0;0.1;SFH;0.456475059
0;0.1;0.4;0;0.1;SFH;0.585939734
0;0.075;0.4;0;0.1;SFH;0.552910244
0.1;0.025;0;0;0.1;SFH;0.479259897
0.1;0;0;0;0.1;SFH;0.449007114
0.1;0.05;0.1;0;0.1;SFH;0.512716283
0.1;0.025;0.1;0;0.1;SFH;0.481068837
0.1;0.075;0.1;0;0.1;SFH;0.544943841
0.1;0.1;0.1;0;0.1;SFH;0.577053048
0.1;0;0.2;0;0.1;SFH;0.451902814
0.1;0.025;0.2;0;0.1;SFH;0.482928554
0.1;0.075;0.2;0;0.1;SFH;0.547544053
0.1;0.05;0.2;0;0.1;SFH;0.514969944
0.1;0.1;0.2;0;0.1;SFH;0.579956321
0.1;0;0.3;0;0.1;SFH;0.453397121
0.1;0.025;0.3;0;0.1;SFH;0.484830309
0.1;0.05;0.3;0;0.1;SFH;0.517263245
0.1;0.075;0.3;0;0.1;SFH;0.550205171
0.1;0.1;0.3;0;0.1;SFH;0.582924351
0.1;0;0.4;0;0.1;SFH;0.454931012
0.1;0.025;0.4;0;0.1;SFH;0.486774649
0.1;0.075;0.4;0;0.1;SFH;0.552920342
0.1;0.05;0.4;0;0.1;SFH;0.519611853
0.1;0.1;0.4;0;0.1;SFH;0.585941059
0.1;0;0.5;0;0.1;SFH;0.456505461
0.1;0.025;0.5;0;0.1;SFH;0.488759697
0.1;0.05;0.5;0;0.1;SFH;0.522034312
0.1;0.075;0.5;0;0.1;SFH;0.555696203
0.1;0.1;0.5;0;0.1;SFH;0.589032307
0.2;0;0;0;0.1;SFH;0.449055357
0.2;0.025;0;0;0.1;SFH;0.479305425
0.2;0.075;0;0;0.1;SFH;0.542402608
0.2;0.05;0;0;0.1;SFH;0.510577396
0.2;0.1;0;0;0.1;SFH;0.574200992
0.2;0;0.1;0;0.1;SFH;0.450481031
0.2;0.025;0.1;0;0.1;SFH;0.481100607
0.2;0.05;0.1;0;0.1;SFH;0.512767483
0.2;0.075;0.1;0;0.1;SFH;0.544962849
0.2;0.1;0.1;0;0.1;SFH;0.577061804
0.2;0;0.2;0;0.1;SFH;0.451953251
0.2;0.025;0.2;0;0.1;SFH;0.482972733
0.2;0.05;0.2;0;0.1;SFH;0.514993698
0.2;0.075;0.2;0;0.1;SFH;0.547574848
0.2;0.1;0.2;0;0.1;SFH;0.57997741
0.2;0;0.3;0;0.1;SFH;0.453460436
0.2;0.025;0.3;0;0.1;SFH;0.484874367
0.2;0.05;0.3;0;0.1;SFH;0.517296316
0.2;0.075;0.3;0;0.1;SFH;0.550230588
0.2;0.1;0.3;0;0.1;SFH;0.582938807
0.2;0;0.4;0;0.1;SFH;0.455004733
0.2;0.025;0.4;0;0.1;SFH;0.486819456
0.2;0.05;0.4;0;0.1;SFH;0.519645972
0.2;0.075;0.4;0;0.1;SFH;0.552962045
0.2;0.1;0.4;0;0.1;SFH;0.585947198
0.2;0;0.5;0;0.1;SFH;0.456572425
0.2;0.025;0.5;0;0.1;SFH;0.488804942
0.2;0.05;0.5;0;0.1;SFH;0.522059477
0.2;0.075;0.5;0;0.1;SFH;0.555735297
0.2;0.1;0.5;0;0.1;SFH;0.589051979
0.3;0;0;0;0.1;SFH;0.449113925
0.3;0.025;0;0;0.1;SFH;0.479350726
0.3;0.05;0;0;0.1;SFH;0.510621183
0.3;0.075;0;0;0.1;SFH;0.542432602
0.3;0.1;0;0;0.1;SFH;0.574220109
0.3;0;0.1;0;0.1;SFH;0.450536215
0.3;0.025;0.1;0;0.1;SFH;0.481151101
0.3;0.05;0.1;0;0.1;SFH;0.512810792
0.3;0.075;0.1;0;0.1;SFH;0.545000607
0.3;0.1;0.1;0;0.1;SFH;0.577086615
0.3;0;0.2;0;0.1;SFH;0.452004025
0.3;0.025;0.2;0;0.1;SFH;0.483011295
0.3;0.05;0.2;0;0.1;SFH;0.515040005
0.3;0.075;0.2;0;0.1;SFH;0.547598996
0.3;0.1;0.2;0;0.1;SFH;0.579991105
0.3;0;0.3;0;0.1;SFH;0.453520174
0.3;0.025;0.3;0;0.1;SFH;0.484929178
0.3;0.05;0.3;0;0.1;SFH;0.517350767
0.3;0.075;0.3;0;0.1;SFH;0.550259652
0.3;0.1;0.3;0;0.1;SFH;0.582967818
0.3;0;0.4;0;0.1;SFH;0.455061734
0.3;0.025;0.4;0;0.1;SFH;0.486870601
0.3;0.075;0.4;0;0.1;SFH;0.552981308
0.3;0.05;0.4;0;0.1;SFH;0.519697395
0.3;0.1;0.4;0;0.1;SFH;0.585982001
0.3;0;0.5;0;0.1;SFH;0.456648249
0.3;0.025;0.5;0;0.1;SFH;0.488851548
0.3;0.05;0.5;0;0.1;SFH;0.52209415
0.3;0.075;0.5;0;0.1;SFH;0.555781938
0.3;0.1;0.5;0;0.1;SFH;0.589090892
0;0.075;0;0;0.2;SFH;0.570584332
0;0.025;0;0;0.2;SFH;0.499622704
0;0.1;0.1;0;0.2;SFH;0.612280359
