Battery Rebate;FiT;Share PV Cantonal over Federal rebate;EC scenario;PV Rebate;Type;2050
0;0.025;0;0;0;SFH;0.401240912
0;0;0.1;0;0;SFH;0.423774354
0;0.075;0.1;0;0;SFH;0.351401389
0;0.075;0;0;0;SFH;0.351401389
0;0;0;0;0;SFH;0.423774354
0;0.1;0.1;0;0;SFH;0.32560298
0;0.025;0.1;0;0;SFH;0.401240912
0;0.05;0;0;0;SFH;0.376830137
0;0.05;0.1;0;0;SFH;0.376830137
0;0.1;0;0;0;SFH;0.32560298
0;0;0.2;0;0;SFH;0.423774354
0;0.025;0.2;0;0;SFH;0.401240912
0;0.075;0.2;0;0;SFH;0.351401389
0;0.1;0.2;0;0;SFH;0.32560298
0;0;0.3;0;0;SFH;0.423774354
0;0.075;0.3;0;0;SFH;0.351401389
0;0.05;0.3;0;0;SFH;0.376830137
0;0.025;0.3;0;0;SFH;0.401240912
0;0.1;0.3;0;0;SFH;0.32560298
0;0.05;0.2;0;0;SFH;0.376830137
0;0;0.4;0;0;SFH;0.423774354
0;0.025;0.4;0;0;SFH;0.401240912
0;0.025;0.5;0;0;SFH;0.401240912
0;0.05;0.4;0;0;SFH;0.376830137
0;0.075;0.4;0;0;SFH;0.351401389
0;0;0.5;0;0;SFH;0.423774354
0;0.1;0.4;0;0;SFH;0.32560298
0;0.05;0.5;0;0;SFH;0.376830137
0;0.1;0.5;0;0;SFH;0.32560298
0;0.075;0.5;0;0;SFH;0.351401389
0.1;0.025;0;0;0;SFH;0.422072187
0.1;0;0;0;0;SFH;0.446293615
0.1;0.075;0;0;0;SFH;0.367378581
0.1;0.05;0;0;0;SFH;0.395548855
0.1;0;0.1;0;0;SFH;0.446293615
0.1;0.1;0;0;0;SFH;0.338568676
0.1;0.025;0.1;0;0;SFH;0.422072187
0.1;0.05;0.1;0;0;SFH;0.395548855
0.1;0.075;0.1;0;0;SFH;0.367378581
0.1;0.1;0.1;0;0;SFH;0.338568676
0.1;0;0.2;0;0;SFH;0.446293615
0.1;0.025;0.2;0;0;SFH;0.422072187
0.1;0.05;0.2;0;0;SFH;0.395548855
0.1;0;0.3;0;0;SFH;0.446293615
0.1;0.075;0.2;0;0;SFH;0.367378581
0.1;0.1;0.2;0;0;SFH;0.338568676
0.1;0.025;0.3;0;0;SFH;0.422072187
0.1;0.05;0.3;0;0;SFH;0.395548855
0.1;0.075;0.3;0;0;SFH;0.367378581
0.1;0.1;0.3;0;0;SFH;0.338568676
0.1;0;0.4;0;0;SFH;0.446293615
0.1;0.05;0.4;0;0;SFH;0.395548855
0.1;0.025;0.4;0;0;SFH;0.422072187
0.1;0.075;0.4;0;0;SFH;0.367378581
0.1;0;0.5;0;0;SFH;0.446293615
0.1;0.1;0.4;0;0;SFH;0.338568676
0.1;0.025;0.5;0;0;SFH;0.422072187
0.1;0.075;0.5;0;0;SFH;0.367378581
0.1;0.05;0.5;0;0;SFH;0.395548855
0.1;0.1;0.5;0;0;SFH;0.338568676
0.2;0.05;0;0;0;SFH;0.418314759
0.2;0;0;0;0;SFH;0.472890041
0.2;0.025;0;0;0;SFH;0.447102592
0.2;0.1;0;0;0;SFH;0.354844977
0.2;0.075;0;0;0;SFH;0.387185466
0.2;0;0.1;0;0;SFH;0.472890041
0.2;0.025;0.1;0;0;SFH;0.447102592
0.2;0.05;0.1;0;0;SFH;0.418314759
0.2;0.075;0.1;0;0;SFH;0.387185466
0.2;0.1;0.1;0;0;SFH;0.354844977
0.2;0.05;0.2;0;0;SFH;0.418314759
0.2;0.075;0.2;0;0;SFH;0.387185466
0.2;0.025;0.2;0;0;SFH;0.447102592
0.2;0;0.2;0;0;SFH;0.472890041
0.2;0.1;0.2;0;0;SFH;0.354844977
0.2;0;0.3;0;0;SFH;0.472890041
0.2;0.025;0.3;0;0;SFH;0.447102592
0.2;0.05;0.3;0;0;SFH;0.418314759
0.2;0.075;0.3;0;0;SFH;0.387185466
0.2;0.1;0.3;0;0;SFH;0.354844977
0.2;0.025;0.4;0;0;SFH;0.447102592
0.2;0.075;0.4;0;0;SFH;0.387185466
0.2;0;0.4;0;0;SFH;0.472890041
0.2;0.05;0.4;0;0;SFH;0.418314759
0.2;0.1;0.4;0;0;SFH;0.354844977
0.2;0;0.5;0;0;SFH;0.472890041
0.2;0.025;0.5;0;0;SFH;0.447102592
0.2;0.05;0.5;0;0;SFH;0.418314759
0.2;0.075;0.5;0;0;SFH;0.387185466
0.2;0.1;0.5;0;0;SFH;0.354844977
0.3;0.025;0;0;0;SFH;0.477337515
0.3;0;0;0;0;SFH;0.504230929
0.3;0.05;0;0;0;SFH;0.446446163
0.3;0.075;0;0;0;SFH;0.412086769
0.3;0.1;0;0;0;SFH;0.375611895
0.3;0;0.1;0;0;SFH;0.504230929
0.3;0.025;0.1;0;0;SFH;0.477337515
0.3;0.05;0.1;0;0;SFH;0.446446163
0.3;0.075;0.1;0;0;SFH;0.412086769
0.3;0.1;0.1;0;0;SFH;0.375611895
0.3;0.075;0.2;0;0;SFH;0.412086769
0.3;0.025;0.2;0;0;SFH;0.477337515
0.3;0;0.2;0;0;SFH;0.504230929
0.3;0.05;0.2;0;0;SFH;0.446446163
0.3;0.1;0.2;0;0;SFH;0.375611895
0.3;0;0.3;0;0;SFH;0.504230929
0.3;0.025;0.3;0;0;SFH;0.477337515
0.3;0.05;0.3;0;0;SFH;0.446446163
0.3;0.075;0.3;0;0;SFH;0.412086769
0.3;0.1;0.3;0;0;SFH;0.375611895
0.3;0.025;0.4;0;0;SFH;0.477337515
0.3;0;0.4;0;0;SFH;0.504230929
0.3;0.05;0.4;0;0;SFH;0.446446163
0.3;0.075;0.4;0;0;SFH;0.412086769
0.3;0.1;0.4;0;0;SFH;0.375611895
0.3;0;0.5;0;0;SFH;0.504230929
0.3;0.025;0.5;0;0;SFH;0.477337515
0.3;0.05;0.5;0;0;SFH;0.446446163
0.3;0.075;0.5;0;0;SFH;0.412086769
0.3;0.1;0.5;0;0;SFH;0.375611895
0;0.1;0.1;0;0.1;SFH;0.331869804
0;0.075;0.1;0;0.1;SFH;0.357027669
0;0;0;0;0.1;SFH;0.424987677
0;0.025;0;0;0.1;SFH;0.403879042
0;0.075;0;0;0.1;SFH;0.356424134
0;0.05;0;0;0.1;SFH;0.380863244
0;0.025;0.1;0;0.1;SFH;0.404527193
0;0.1;0;0;0.1;SFH;0.331316619
0;0;0.1;0;0.1;SFH;0.425679707
0;0.05;0.1;0;0.1;SFH;0.381510206
0;0.05;0.2;0;0.1;SFH;0.38219297
0;0;0.2;0;0.1;SFH;0.426357884
0;0.075;0.3;0;0.1;SFH;0.35830951
0;0.075;0.2;0;0.1;SFH;0.357648638
0;0.1;0.3;0;0.1;SFH;0.332909196
0;0;0.3;0;0.1;SFH;0.427001948
0;0.025;0.2;0;0.1;SFH;0.405233739
0;0;0.4;0;0.1;SFH;0.427719111
0;0.025;0.4;0;0.1;SFH;0.406648303
0;0.05;0.4;0;0.1;SFH;0.383440711
0;0.05;0.3;0;0.1;SFH;0.382753135
0;0.025;0.3;0;0.1;SFH;0.405956515
0;0.025;0.5;0;0.1;SFH;0.407465042
0;0.05;0.5;0;0.1;SFH;0.384166316
0;0.075;0.5;0;0.1;SFH;0.359551414
0;0.1;0.5;0;0.1;SFH;0.334078075
0;0.1;0.2;0;0.1;SFH;0.332353693
0.1;0.05;0;0;0.1;SFH;0.399322571
0.1;0.075;0;0;0.1;SFH;0.372364743
0.1;0.1;0;0;0.1;SFH;0.344490429
0.1;0;0.1;0;0.1;SFH;0.447653615
0;0;0.5;0;0.1;SFH;0.428479204
0;0.1;0.4;0;0.1;SFH;0.333510074
0;0.075;0.4;0;0.1;SFH;0.358960344
0.1;0.025;0;0;0.1;SFH;0.424370171
0.1;0;0;0;0.1;SFH;0.447015986
0.1;0.05;0.1;0;0.1;SFH;0.400000432
0.1;0.025;0.1;0;0.1;SFH;0.4250902
0.1;0.075;0.1;0;0.1;SFH;0.373068469
0.1;0.1;0.1;0;0.1;SFH;0.345023831
0.1;0;0.2;0;0.1;SFH;0.448416087
0.1;0.025;0.2;0;0.1;SFH;0.425800265
0.1;0.075;0.2;0;0.1;SFH;0.373729399
0.1;0.05;0.2;0;0.1;SFH;0.400719843
0.1;0.1;0.2;0;0.1;SFH;0.345580999
0.1;0;0.3;0;0.1;SFH;0.449056199
0.1;0.025;0.3;0;0.1;SFH;0.426546948
0.1;0.05;0.3;0;0.1;SFH;0.401426308
0.1;0.075;0.3;0;0.1;SFH;0.374451454
0.1;0.1;0.3;0;0.1;SFH;0.346152515
0.1;0;0.4;0;0.1;SFH;0.449791472
0.1;0.025;0.4;0;0.1;SFH;0.427269913
0.1;0.075;0.4;0;0.1;SFH;0.375105667
0.1;0.05;0.4;0;0.1;SFH;0.402107383
0.1;0.1;0.4;0;0.1;SFH;0.346861256
0.1;0;0.5;0;0.1;SFH;0.450629487
0.1;0.025;0.5;0;0.1;SFH;0.428131504
0.1;0.05;0.5;0;0.1;SFH;0.402874618
0.1;0.075;0.5;0;0.1;SFH;0.375727544
0.1;0.1;0.5;0;0.1;SFH;0.347426224
0.2;0;0;0;0.1;SFH;0.472871216
0.2;0.025;0;0;0.1;SFH;0.448920363
0.2;0.075;0;0;0.1;SFH;0.392065522
0.2;0.05;0;0;0.1;SFH;0.421751752
0.2;0.1;0;0;0.1;SFH;0.36083006
0.2;0;0.1;0;0.1;SFH;0.473579381
0.2;0.025;0.1;0;0.1;SFH;0.449784635
0.2;0.05;0.1;0;0.1;SFH;0.422562088
0.2;0.075;0.1;0;0.1;SFH;0.392789181
0.2;0.1;0.1;0;0.1;SFH;0.36152315
0.2;0;0.2;0;0.1;SFH;0.47434732
0.2;0.025;0.2;0;0.1;SFH;0.450456805
0.2;0.05;0.2;0;0.1;SFH;0.423297328
0.2;0.075;0.2;0;0.1;SFH;0.393545806
0.2;0.1;0.2;0;0.1;SFH;0.362133664
0.2;0;0.3;0;0.1;SFH;0.475113264
0.2;0.025;0.3;0;0.1;SFH;0.451233119
0.2;0.05;0.3;0;0.1;SFH;0.424131169
0.2;0.075;0.3;0;0.1;SFH;0.394330146
0.2;0.1;0.3;0;0.1;SFH;0.362682917
0.2;0;0.4;0;0.1;SFH;0.475851389
0.2;0.025;0.4;0;0.1;SFH;0.451991302
0.2;0.05;0.4;0;0.1;SFH;0.424810776
0.2;0.075;0.4;0;0.1;SFH;0.395055437
0.2;0.1;0.4;0;0.1;SFH;0.363450577
0.2;0;0.5;0;0.1;SFH;0.476675515
0.2;0.025;0.5;0;0.1;SFH;0.452840124
0.2;0.05;0.5;0;0.1;SFH;0.425584424
0.2;0.075;0.5;0;0.1;SFH;0.395732665
0.2;0.1;0.5;0;0.1;SFH;0.364052733
0.3;0;0;0;0.1;SFH;0.503272592
0.3;0.025;0;0;0.1;SFH;0.478489595
0.3;0.05;0;0;0.1;SFH;0.449384563
0.3;0.075;0;0;0.1;SFH;0.416754544
0.3;0.1;0;0;0.1;SFH;0.38166271
0.3;0;0.1;0;0.1;SFH;0.504080701
0.3;0.025;0.1;0;0.1;SFH;0.479314638
0.3;0.05;0.1;0;0.1;SFH;0.450200927
0.3;0.075;0.1;0;0.1;SFH;0.417543798
0.3;0.1;0.1;0;0.1;SFH;0.382409575
0.3;0;0.2;0;0.1;SFH;0.504867659
0.3;0.025;0.2;0;0.1;SFH;0.480137433
0.3;0.05;0.2;0;0.1;SFH;0.451087828
0.3;0.075;0.2;0;0.1;SFH;0.418378662
0.3;0.1;0.2;0;0.1;SFH;0.383077414
0.3;0;0.3;0;0.1;SFH;0.50564724
0.3;0.025;0.3;0;0.1;SFH;0.480990118
0.3;0.05;0.3;0;0.1;SFH;0.451784196
0.3;0.075;0.3;0;0.1;SFH;0.419166885
0.3;0.1;0.3;0;0.1;SFH;0.383660557
0.3;0;0.4;0;0.1;SFH;0.506458363
0.3;0.025;0.4;0;0.1;SFH;0.481732727
0.3;0.075;0.4;0;0.1;SFH;0.419996614
0.3;0.05;0.4;0;0.1;SFH;0.452744391
0.3;0.1;0.4;0;0.1;SFH;0.384600847
0.3;0;0.5;0;0.1;SFH;0.507263927
0.3;0.025;0.5;0;0.1;SFH;0.482620827
0.3;0.05;0.5;0;0.1;SFH;0.453507422
0.3;0.075;0.5;0;0.1;SFH;0.420780383
0.3;0.1;0.5;0;0.1;SFH;0.385264615
0;0.075;0;0;0.2;SFH;0.364006683
0;0.025;0;0;0.2;SFH;0.412670044
0;0.1;0.1;0;0.2;SFH;0.339102191
0;0;0.1;0;0.2;SFH;0.435519066
0;0;0;0;0.2;SFH;0.4338591
0;0.025;0.1;0;0.2;SFH;0.414174715
0;0.05;0;0;0.2;SFH;0.389216492
0;0.05;0.1;0;0.2;SFH;0.390684737
0;0.075;0.1;0;0.2;SFH;0.365292606
0;0.1;0;0;0.2;SFH;0.337913977
0;0.025;0.2;0;0.2;SFH;0.415908563
0;0;0.2;0;0.2;SFH;0.437122548
0;0.075;0.2;0;0.2;SFH;0.366505334
0;0.1;0.2;0;0.2;SFH;0.340036399
0;0.05;0.2;0;0.2;SFH;0.392174415
0;0;0.3;0;0.2;SFH;0.438792414
0;0.025;0.3;0;0.2;SFH;0.417480793
0;0.05;0.3;0;0.2;SFH;0.393653212
0;0.1;0.3;0;0.2;SFH;0.341168922
0;0.075;0.3;0;0.2;SFH;0.367858024
0;0;0.4;0;0.2;SFH;0.440670375
0;0.025;0.4;0;0.2;SFH;0.419144342
0;0.05;0.4;0;0.2;SFH;0.395180804
0;0.075;0.4;0;0.2;SFH;0.369217127
0;0.1;0.4;0;0.2;SFH;0.34209517
0;0;0.5;0;0.2;SFH;0.442445754
0;0.025;0.5;0;0.2;SFH;0.420962058
0;0.05;0.5;0;0.2;SFH;0.396696851
0;0.075;0.5;0;0.2;SFH;0.370498289
0;0.1;0.5;0;0.2;SFH;0.343026565
0.1;0;0;0;0.2;SFH;0.456267502
0.1;0.025;0;0;0.2;SFH;0.433716827
0.1;0.05;0;0;0.2;SFH;0.408247123
0.1;0.075;0;0;0.2;SFH;0.380549109
0.1;0.1;0;0;0.2;SFH;0.351608567
0.1;0;0.1;0;0.2;SFH;0.457980055
0.1;0.025;0.1;0;0.2;SFH;0.4353528
0.1;0.05;0.1;0;0.2;SFH;0.409863102
0.1;0.1;0.1;0;0.2;SFH;0.352906322
0.1;0.075;0.1;0;0.2;SFH;0.381917105
0.1;0;0.2;0;0.2;SFH;0.459688019
0.1;0.025;0.2;0;0.2;SFH;0.437131846
0.1;0.05;0.2;0;0.2;SFH;0.41140111
0.1;0.075;0.2;0;0.2;SFH;0.383289118
0.1;0.1;0.2;0;0.2;SFH;0.353812224
0.1;0;0.3;0;0.2;SFH;0.461498065
0.1;0.025;0.3;0;0.2;SFH;0.438838287
0.1;0.05;0.3;0;0.2;SFH;0.412931552
0.1;0.1;0.3;0;0.2;SFH;0.355013213
0.1;0.075;0.3;0;0.2;SFH;0.384652483
0.1;0;0.4;0;0.2;SFH;0.463439554
0.1;0.025;0.4;0;0.2;SFH;0.440595822
0.1;0.05;0.4;0;0.2;SFH;0.414562734
0.1;0.075;0.4;0;0.2;SFH;0.386081199
0.1;0.1;0.4;0;0.2;SFH;0.355984184
0.1;0;0.5;0;0.2;SFH;0.465374277
0.1;0.025;0.5;0;0.2;SFH;0.442416227
0.1;0.05;0.5;0;0.2;SFH;0.416141335
0.1;0.075;0.5;0;0.2;SFH;0.387367583
0.1;0.1;0.5;0;0.2;SFH;0.35699834
0.2;0;0;0;0.2;SFH;0.482528404
0.2;0.025;0;0;0.2;SFH;0.458840438
0.2;0.05;0;0;0.2;SFH;0.431330737
0.2;0.075;0;0;0.2;SFH;0.400943521
0.2;0.1;0;0;0.2;SFH;0.368652309
0.2;0;0.1;0;0.2;SFH;0.484429935
0.2;0.025;0.1;0;0.2;SFH;0.460516476
0.2;0.05;0.1;0;0.2;SFH;0.432988092
0.2;0.075;0.1;0;0.2;SFH;0.40231973
0.2;0.1;0.1;0;0.2;SFH;0.370019807
0.2;0;0.2;0;0.2;SFH;0.486188536
0.2;0.025;0.2;0;0.2;SFH;0.462348236
0.2;0.05;0.2;0;0.2;SFH;0.43474824
0.2;0.075;0.2;0;0.2;SFH;0.40377435
0.2;0.1;0.2;0;0.2;SFH;0.370974743
0.2;0;0.3;0;0.2;SFH;0.488063097
0.2;0.025;0.3;0;0.2;SFH;0.464187351
0.2;0.05;0.3;0;0.2;SFH;0.43622739
0.2;0.1;0.3;0;0.2;SFH;0.372284724
0.2;0.075;0.3;0;0.2;SFH;0.405290313
0.2;0;0.4;0;0.2;SFH;0.490004522
0.2;0.025;0.4;0;0.2;SFH;0.465983304
0.2;0.05;0.4;0;0.2;SFH;0.438050501
0.2;0.075;0.4;0;0.2;SFH;0.406751147
0.2;0.1;0.4;0;0.2;SFH;0.37326997
0.2;0;0.5;0;0.2;SFH;0.492084667
0.2;0.025;0.5;0;0.2;SFH;0.467959622
0.2;0.05;0.5;0;0.2;SFH;0.439752529
0.2;0.075;0.5;0;0.2;SFH;0.408110687
0.2;0.1;0.5;0;0.2;SFH;0.374314135
0.3;0;0;0;0.2;SFH;0.513355218
0.3;0.025;0;0;0.2;SFH;0.488876965
0.3;0.05;0;0;0.2;SFH;0.459517471
0.3;0.075;0;0;0.2;SFH;0.426254018
0.3;0.1;0;0;0.2;SFH;0.390182848
0.3;0;0.1;0;0.2;SFH;0.515232535
0.3;0.025;0.1;0;0.2;SFH;0.490645665
0.3;0.05;0.1;0;0.2;SFH;0.461290374
0.3;0.075;0.1;0;0.2;SFH;0.427854913
0.3;0.1;0.1;0;0.2;SFH;0.391652694
0.3;0;0.2;0;0.2;SFH;0.517087361
0.3;0.025;0.2;0;0.2;SFH;0.492610921
0.3;0.05;0.2;0;0.2;SFH;0.46311749
0.3;0.075;0.2;0;0.2;SFH;0.429324466
0.3;0.1;0.2;0;0.2;SFH;0.39263774
0.3;0;0.3;0;0.2;SFH;0.519084565
0.3;0.025;0.3;0;0.2;SFH;0.494524822
0.3;0.05;0.3;0;0.2;SFH;0.464726074
0.3;0.075;0.3;0;0.2;SFH;0.430951561
0.3;0.1;0.3;0;0.2;SFH;0.394121796
0.3;0;0.4;0;0.2;SFH;0.521024578
0.3;0.025;0.4;0;0.2;SFH;0.496326472
0.3;0.05;0.4;0;0.2;SFH;0.466620579
0.3;0.075;0.4;0;0.2;SFH;0.432537221
0.3;0.1;0.4;0;0.2;SFH;0.395118142
0.3;0;0.5;0;0.2;SFH;0.523157781
0.3;0.025;0.5;0;0.2;SFH;0.498384441
0.3;0.05;0.5;0;0.2;SFH;0.468363775
0.3;0.075;0.5;0;0.2;SFH;0.433906462
0.3;0.1;0.5;0;0.2;SFH;0.396150705
0;0.075;0;0;0.3;SFH;0.372857654
0;0;0.1;0;0.3;SFH;0.448342221
0;0.1;0.1;0;0.3;SFH;0.346048678
0;0.075;0.1;0;0.3;SFH;0.374250328
0;0;0.2;0;0.3;SFH;0.451382772
0;0.025;0.2;0;0.3;SFH;0.429028993
0;0.1;0;0;0.3;SFH;0.344961629
0;0.075;0.2;0;0.3;SFH;0.375733997
0;0;0;0;0.3;SFH;0.445614465
0;0.05;0.2;0;0.3;SFH;0.403589029
0;0.025;0;0;0.3;SFH;0.423872954
0;0;0.3;0;0.3;SFH;0.454351695
0;0.05;0.1;0;0.3;SFH;0.401548649
0;0.05;0;0;0.3;SFH;0.399326972
0;0.025;0.1;0;0.3;SFH;0.426435295
0;0.025;0.3;0;0.3;SFH;0.431667804
0;0.075;0.3;0;0.3;SFH;0.377052934
0;0.05;0.3;0;0.3;SFH;0.40551252
0;0.1;0.2;0;0.3;SFH;0.346818387
0;0.1;0.3;0;0.3;SFH;0.347027454
0;0;0.4;0;0.3;SFH;0.457522773
0;0.025;0.4;0;0.3;SFH;0.434267132
0;0.075;0.4;0;0.3;SFH;0.377821936
0;0.05;0.4;0;0.3;SFH;0.40729194
0;0.1;0.4;0;0.3;SFH;0.346989459
0;0;0.5;0;0.3;SFH;0.46075421
0;0.025;0.5;0;0.3;SFH;0.43655497
0;0.05;0.5;0;0.3;SFH;0.408708111
0;0.075;0.5;0;0.3;SFH;0.378243131
0;0.1;0.5;0;0.3;SFH;0.346085237
0.1;0;0;0;0.3;SFH;0.468529045
0.1;0.025;0;0;0.3;SFH;0.445563024
0.1;0.075;0;0;0.3;SFH;0.389966332
0.1;0.05;0;0;0.3;SFH;0.419034225
0.1;0.1;0;0;0.3;SFH;0.359147975
0.1;0;0.1;0;0.3;SFH;0.471501576
0.1;0.025;0.1;0;0.3;SFH;0.448216241
0.1;0.05;0.1;0;0.3;SFH;0.421298995
0.1;0.075;0.1;0;0.3;SFH;0.391415761
0.1;0.1;0.1;0;0.3;SFH;0.360251784
0.1;0;0.2;0;0.3;SFH;0.474534892
0.1;0.025;0.2;0;0.3;SFH;0.45092278
0.1;0.05;0.2;0;0.3;SFH;0.423498987
0.1;0.075;0.2;0;0.3;SFH;0.393004971
0.1;0.1;0.2;0;0.3;SFH;0.360961522
0.1;0;0.3;0;0.3;SFH;0.477681104
0.1;0.025;0.3;0;0.3;SFH;0.453551458
0.1;0.05;0.3;0;0.3;SFH;0.425482715
0.1;0.075;0.3;0;0.3;SFH;0.394252954
0.1;0.1;0.3;0;0.3;SFH;0.361188102
0.1;0;0.4;0;0.3;SFH;0.480988373
0.1;0.025;0.4;0;0.3;SFH;0.456264284
0.1;0.075;0.4;0;0.3;SFH;0.395006392
0.1;0.05;0.4;0;0.3;SFH;0.427227369
0.1;0.1;0.4;0;0.3;SFH;0.360930547
0.1;0;0.5;0;0.3;SFH;0.484339274
